0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:35:52 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:28 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:32 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:33 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:35 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:36 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:56 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:57 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:36:59 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:37:00 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:37:12 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:37:13 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:16 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:22 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:23 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:26 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:53 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:38:54 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:19 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:22 -0300] "GET /ProjetoLivraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:22 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:23 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:26 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:33 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:34 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:39:59 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:40:00 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro= HTTP/1.1" 500 3053
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:40:06 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:40:06 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:40:08 -0300] "POST /ProjetoLivraria/consultaLivroPorCategoria.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:40:09 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro=12 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:42:34 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:42:38 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:42:39 -0300] "GET /ProjetoLivraria/editar.jsp? HTTP/1.1" 500 2938
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:43:33 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:43:45 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:43:46 -0300] "GET /ProjetoLivraria/editar.jsp? HTTP/1.1" 500 2938
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:45:33 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:46:09 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 3724
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:46:20 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 3966
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:46:40 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:47:00 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:47:08 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:47:10 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro=12 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:48:08 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:48:09 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:48:51 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:48:52 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro=12 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:49:22 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:49:34 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:49:57 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:50:34 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2803
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:50:48 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:53:22 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:53:28 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:53:31 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:58:32 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:58:33 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:59:14 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:59:18 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:59:31 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:59:36 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:10:35 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 500 3089
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:10:43 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:11:11 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 500 2538
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:12:25 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=12 HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:13:35 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:13:41 -0300] "GET /ProjetoLivraria/consultar.jsp HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:13:51 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:15:33 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:20 -0300] "POST /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:23 -0300] "GET /ProjetoLivraria/deletar.jsp?codlivro=13 HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:28 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:28 -0300] "GET /ProjetoLivraria/adicionar.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:29 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:30 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:31 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:31 -0300] "GET /ProjetoLivraria/adicionar.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:16:32 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [30/Oct/2022:13:28:48 -0300] "GET /ProjetoLivraria/consultar.jsp HTTP/1.1" 200 3155
